,product_name,link,price,details,gender,product_type
0,FADED LEATHER EFFECT JACKET,https://www.zara.com/in/en/faded-leather-effect-jacket-p05070330.html,91.62648,Faded leather effect jacket. Lapel collar and long sleeves with adjustable zip cuffs. Hip welt pockets with zip fastening. Zip-up front.,Men,outerwear
1,FAUX LEATHER JACKET,https://www.zara.com/in/en/faux-leather-jacket-p03427320.html,84.38328,Jacket made of faux leather fabric. Lapel collar with snap-button details. Long sleeves with zip cuffs. Front zip pockets on the chest and hip. Inside pocket. Asymmetric metal zip-up front.,Men,outerwear
2,FAUX LEATHER BOMBER JACKET,https://www.zara.com/in/en/faux-leather-bomber-jacket-p03918420.html,60.239279999999994,Jacket made of faux leather fabric. High neck and long sleeves. Welt pockets at the hip and interior pocket detail. Ribbed trims. Front zip fastening.,Men,outerwear
3,FAUX LEATHER JACKET,https://www.zara.com/in/en/faux-leather-jacket-p08281306.html,91.62648,Collared jacket with long sleeves and elasticated cuffs. Welt pockets on the chest and hip. Ribbed hem. Zip-up front.,Men,outerwear
4,SATIN JACKET WITH EMBROIDERED SLOGAN,https://www.zara.com/in/en/satin-jacket-with-embroidered-slogan-p00706304.html,91.62648,Satin varsity jacket. Jetted hip pockets and inside pocket detail. Contrast embroidery on the back. Ribbed trims. Front zip fastening.,Men,outerwear
5,BOMBER JACKET WITH PATCH,https://www.zara.com/in/en/bomber-jacket-with-patch-p03918478.html,72.31128,Varsity jacket made of faux suede fabric. Jetted hip pockets and inside pocket detail. Contrast embroidery and patch appliqués on the front and back. Ribbed trims. Snap-buttons down the front.,Men,outerwear
6,HOODED BOMBER JACKET,https://www.zara.com/in/en/hooded-bomber-jacket-p03833407.html,91.62648,Varsity jacket with a hood in the collar. Long sleeves with elasticated cuffs. Jetted pockets at the hip and inside pocket detail. Contrast patches and embroidery on the front and back. Ribbed trims. Snap-button front.,Men,outerwear
7,BOMBER JACKET WITH PATCH,https://www.zara.com/in/en/bomber-jacket-with-patch-p03918392.html,60.239279999999994,Varsity jacket made of lightweight fabric. Jetted hip pockets and inside pocket detail. Contrast patches and embroidery on the front. Ribbed trims. Snap-button front.,Men,outerwear
8,SEERSUCKER JACKET WITH POCKETS,https://www.zara.com/in/en/seersucker-jacket-with-pockets-p08281330.html,72.31128,Relaxed fit jacket featuring a high neck and long sleeves with elastic cuffs. Patch pockets with flaps at the hip. Adjustable hem with elastic details on the front. Front zip fastening.,Men,outerwear
9,OVERSHIRT WITH POCKETS,https://www.zara.com/in/en/overshirt-with-pockets-p01538451.html,48.16728,Relaxed fit overshirt made of cotton. Lapel collar and long sleeves with buttoned cuffs. Patch pockets with flaps on the chest and a side hip pocket. Zip-up front.,Men,outerwear
10,TEXTURED JACKET,https://www.zara.com/in/en/textured-jacket-p01538452.html,67.48248,Jacket with a slightly padded interior. Contrast collar. Long sleeves with buttoned cuffs. Faded effect. Double welt pockets on the chest and hip. Front zip-up fastening.,Men,outerwear
11,FAUX SUEDE EMBROIDERED JACKET,https://www.zara.com/in/en/faux-suede-embroidered-jacket-p08281469.html,72.31128,Collared varsity jacket made of faux suede. Long sleeves. Jetted hip pockets and inside pocket detail. Contrast patch and embroidery on the front and back. Ribbed trims. Snap-button front fastening.,Men,outerwear
12,TECHNICAL JACKET,https://www.zara.com/in/en/technical-jacket-p03918390.html,72.31128,Jacket made of technical fabric. Lapel collar and long sleeves with elasticated trims. Hip welt pockets and inside pocket. Adjustable elasticated hem. Snap-button fastening on the front.,Men,outerwear
13,CONTRAST PRINT JACKET,https://www.zara.com/in/en/contrast-print-jacket-p05320401.html,60.239279999999994,Jacket made of a lightweight cotton fabric. Lapel collar and long sleeves with elasticated cuffs. Front hip pockets. Contrast prints on the chest and back. Elasticated hem. Front snap-button fastening.,Men,outerwear
14,TECHNICAL JACKET WITH ZIPS,https://www.zara.com/in/en/technical-jacket-with-zips-p08574505.html,91.62648,Jacket made of a technical fabric. High neck featuring an adjustable hood with elastic. Long sleeves featuring adjustable cuffs with hook-and-loop strap. Chest patch pockets and front zip pockets. Adjustable hem with elastic at the sides. Front zip fastening.View more,Men,outerwear
15,PUFFER TECHNICAL JACKET,https://www.zara.com/in/en/puffer-technical-jacket-p07627502.html,72.31128,"Jacket with quilted lining, made of technical fabric. High neck and long sleeves. Hip welt pockets and an inside pocket. Elastic trims. Zip-up front hidden by a snap-button placket.",Men,outerwear
16,WATER-REPELLENT TRENCH COAT WITH DETACHABLE GILET,https://www.zara.com/in/en/water-repellent-trench-coat-with-detachable-gilet-p05854301.html,132.67128,"Lightweight coat with a removable quilted gilet on the inside. - Coat made of stretch cotton fabric with a water-repellent finish. Lapel collar and long sleeves. Inside pocket detail and hip welt pockets. Back vent in the centre of the hem. Buttoned front hidden by a placket. - Puffer gilet made of technical fabric. Featuring a V-neck, welt pockets at the hip and front snap-button fastening.View more",Men,outerwear
